Barack_Obama_1_chunk_1.wav|When iran. |When iran. 
Barack_Obama_1_chunk_2.wav|Agre. |Agre. 
Barack_Obama_1_chunk_3.wav|To accept constraints on its nuclear program that enhances global security and enhances iran's ability. |To accept constraints on its nuclear program that enhances global security and enhances iran's ability. 
Barack_Obama_1_chunk_4.wav|To work with other nations. |To work with other nations. 
Barack_Obama_1_chunk_5.wav|On the other hand when north korea tests a bomb that endangers all of us. |On the other hand when north korea tests a bomb that endangers all of us. 
Barack_Obama_1_chunk_6.wav|In any country that. |In any country that. 
Barack_Obama_1_chunk_7.wav|This basic bargain must face consequences. |This basic bargain must face consequences. 
Barack_Obama_1_chunk_8.wav|And those nations with these weapons like the united states have a unique responsibility to pursue the path of reducing our stockpiles. |And those nations with these weapons like the united states have a unique responsibility to pursue the path of reducing our stockpiles. 
Barack_Obama_1_chunk_9.wav|And reaffirming basic norms like the commitment. |And reaffirming basic norms like the commitment. 
Barack_Obama_1_chunk_10.wav|To never test them again. |To never test them again. 
Barack_Obama_1_chunk_11.wav|We can't combat a disease like zika that recognizes no borders. |We can't combat a disease like zika that recognizes no borders. 
Barack_Obama_1_chunk_12.wav|Mosquitoes don't respect walls. |Mosquitoes don't respect walls. 
Barack_Obama_1_chunk_13.wav|Unless we make permanent the same urgency that we brought to bear against ebola. |Unless we make permanent the same urgency that we brought to bear against ebola. 
Barack_Obama_1_chunk_14.wav|By strengthening. |By strengthening. 
Barack_Obama_10_chunk_1.wav|Don't forget. |Don't forget. 
Barack_Obama_10_chunk_2.wav|In the immediacy of current events. |In the immediacy of current events. 
Barack_Obama_10_chunk_3.wav|Here's the most important fact. |Here's the most important fact. 
Barack_Obama_10_chunk_4.wav|The integration of our global economy has made life better for billions of men women and children. |The integration of our global economy has made life better for billions of men women and children. 
Barack_Obama_10_chunk_5.wav|Over the last 25 years the number of people living in extreme poverty has been cut from nearly 40% of humanity. |Over the last 25 years the number of people living in extreme poverty has been cut from nearly 40% of humanity. 
Barack_Obama_10_chunk_6.wav|To under 10%. |To under 10%. 
Barack_Obama_10_chunk_7.wav|Pets unprecedented. |Pets unprecedented. 
Barack_Obama_10_chunk_8.wav|And it's not an abstraction it means children have enough to eat. |And it's not an abstraction it means children have enough to eat. 
Barack_Obama_10_chunk_9.wav|Mothers don't die in childbirth. |Mothers don't die in childbirth. 
Barack_Obama_10_chunk_10.wav|Meanwhile cracking the genetic code promises to cure diseases that have plagued us for centuries. |Meanwhile cracking the genetic code promises to cure diseases that have plagued us for centuries. 
Barack_Obama_10_chunk_11.wav|The internet. |The internet. 
Barack_Obama_10_chunk_12.wav|Can deliver the entirety of human knowledge to a young girl in a remote village. |Can deliver the entirety of human knowledge to a young girl in a remote village. 
Barack_Obama_10_chunk_13.wav|On a single handheld device. |On a single handheld device. 
Barack_Obama_10_chunk_14.wav|In medicine and in manufacturing in education. |In medicine and in manufacturing in education. 
Barack_Obama_100_chunk_1.wav|Take holders in this international system. |Take holders in this international system. 
Barack_Obama_100_chunk_2.wav|And it calls upon all of us to invest in the success of institutions. |And it calls upon all of us to invest in the success of institutions. 
Barack_Obama_100_chunk_3.wav|To which we belong. |To which we belong. 
Barack_Obama_100_chunk_4.wav|And the good news is that the many nations have shown what kind of progress is possible when we make those commitments. |And the good news is that the many nations have shown what kind of progress is possible when we make those commitments. 
Barack_Obama_100_chunk_5.wav|Consider what we've accomplished here. |Consider what we've accomplished here. 
Barack_Obama_100_chunk_6.wav|Over the past few years. |Over the past few years. 
"Barack_Obama_100_chunk_7.wav|Together we mobilize some 50,000 additional troops for un peacekeeping. |Together we mobilize some 50,000 additional troops for un peacekeeping. "
Barack_Obama_100_chunk_8.wav|Making them nym. |Making them nym. 
Barack_Obama_100_chunk_9.wav|Better equipped. |Better equipped. 
Barack_Obama_100_chunk_10.wav|Better prepared to deal with emergencies. |Better prepared to deal with emergencies. 
Barack_Obama_100_chunk_11.wav|Together we established an open government partnership so that. |Together we established an open government partnership so that. 
Barack_Obama_100_chunk_12.wav|Increasingly transparency and powers more and more people around the globe. |Increasingly transparency and powers more and more people around the globe. 
Barack_Obama_100_chunk_13.wav|And together. |And together. 
Barack_Obama_100_chunk_15.wav|We have to open our hearts and do more to help refugees or desperate. |We have to open our hearts and do more to help refugees or desperate. 
Barack_Obama_100_chunk_16.wav|For home. |For home. 
Barack_Obama_100_chunk_17.wav|We should all welcome the pledges of increase assistance. |We should all welcome the pledges of increase assistance. 
Barack_Obama_100_chunk_18.wav|Did have been made at this general assembly. |Did have been made at this general assembly. 
Barack_Obama_101_chunk_1.wav|Of all that i've done in my life. |Of all that i've done in my life. 
Barack_Obama_101_chunk_2.wav|I am most proud to be your. |I am most proud to be your. 
Barack_Obama_101_chunk_3.wav|To joe biden. |To joe biden. 
Barack_Obama_101_chunk_4.wav|The scrappy kid from sprint who became delaware's favorite song you were the first decision i made as a nominee and it was the best. |The scrappy kid from sprint who became delaware's favorite song you were the first decision i made as a nominee and it was the best. 
Barack_Obama_101_chunk_5.wav|Not just because you have been a great vice president but because of the bargain i gained a brother. |Not just because you have been a great vice president but because of the bargain i gained a brother. 
Barack_Obama_101_chunk_6.wav|And we love you and jill. |And we love you and jill. 
Barack_Obama_102_chunk_1.wav|One trust in our institution is low we should reduce the corrosive influence of money in our politics. |One trust in our institution is low we should reduce the corrosive influence of money in our politics. 
Barack_Obama_102_chunk_2.wav|And insist on the principles of transparency in ethics in public service. |And insist on the principles of transparency in ethics in public service. 
Barack_Obama_102_chunk_3.wav|When congress is dysfunctional. |When congress is dysfunctional. 
Barack_Obama_102_chunk_4.wav|We should draw our congressional districts to encourage politicians to cater to common sense and not rigid extremes but remember none of this happens on its own. |We should draw our congressional districts to encourage politicians to cater to common sense and not rigid extremes but remember none of this happens on its own. 
Barack_Obama_102_chunk_5.wav|All of this depends. |All of this depends. 
Barack_Obama_102_chunk_6.wav|On our participation. |On our participation. 
Barack_Obama_102_chunk_7.wav|On each of us accepting the responsibility of citizenship. |On each of us accepting the responsibility of citizenship. 
Barack_Obama_102_chunk_8.wav|Regardless of which way. |Regardless of which way. 
Barack_Obama_102_chunk_9.wav|The pendulum of power happens to be swinging. |The pendulum of power happens to be swinging. 
Barack_Obama_103_chunk_1.wav|Close the continuing sting of racism. |Close the continuing sting of racism. 
Barack_Obama_103_chunk_2.wav|To the young people who led us this summer telling us we need to be better. |To the young people who led us this summer telling us we need to be better. 
Barack_Obama_103_chunk_3.wav|In so many ways you are this country's dreams fulfilled. |In so many ways you are this country's dreams fulfilled. 
Barack_Obama_103_chunk_4.wav|Earlier generations had to be persuaded. |Earlier generations had to be persuaded. 
Barack_Obama_103_chunk_5.wav|That everyone. |That everyone. 
Barack_Obama_103_chunk_6.wav|Has equal worth. |Has equal worth. 
Barack_Obama_103_chunk_7.wav|For you it's a given. |For you it's a given. 
Barack_Obama_103_chunk_8.wav|A conviction. |A conviction. 
Barack_Obama_103_chunk_9.wav|And what i want you to know. |And what i want you to know. 
Barack_Obama_103_chunk_10.wav|Is it for all its messiness. |Is it for all its messiness. 
Barack_Obama_103_chunk_11.wav|And frustrations. |And frustrations. 
Barack_Obama_103_chunk_12.wav|Your system of self-government. |Your system of self-government. 
Barack_Obama_103_chunk_13.wav|Can be harnessed to. |Can be harnessed to. 
Barack_Obama_103_chunk_14.wav|You realize. |You realize. 
Barack_Obama_103_chunk_15.wav|Those convictions. |Those convictions. 
Barack_Obama_103_chunk_16.wav|For all of us. |For all of us. 
Barack_Obama_103_chunk_17.wav|You can give our democracy new meaning. |You can give our democracy new meaning. 
Barack_Obama_103_chunk_18.wav|You can take it to a better place. |You can take it to a better place. 
Barack_Obama_104_chunk_2.wav|Is shaped by america's store. |Is shaped by america's store. 
Barack_Obama_104_chunk_3.wav|Our nation began. |Our nation began. 
Barack_Obama_104_chunk_4.wav|Were the promise of freedom that applied only to the few but because of our democratic constitution. |Were the promise of freedom that applied only to the few but because of our democratic constitution. 
Barack_Obama_104_chunk_5.wav|Because of our bill of rights. |Because of our bill of rights. 
Barack_Obama_104_chunk_6.wav|Because of our ideals. |Because of our ideals. 
Barack_Obama_104_chunk_7.wav|Ordinary people were able to organize and march and protest. |Ordinary people were able to organize and march and protest. 
Barack_Obama_104_chunk_8.wav|And ultimately. |And ultimately. 
Barack_Obama_104_chunk_9.wav|Those ideals. |Those ideals. 
Barack_Obama_104_chunk_10.wav|One out. |One out. 
Barack_Obama_104_chunk_11.wav|Open doors for women. |Open doors for women. 
Barack_Obama_104_chunk_12.wav|And minorities and workers and ways that. |And minorities and workers and ways that. 
Barack_Obama_104_chunk_13.wav|Made our economy more productive. |Made our economy more productive. 
Barack_Obama_104_chunk_14.wav|And turned our diversity into a strength. |And turned our diversity into a strength. 
Barack_Obama_104_chunk_15.wav|They gave innovators the chance to transform every area of human endeavor. |They gave innovators the chance to transform every area of human endeavor. 
Barack_Obama_104_chunk_16.wav|They made it possible for someone like me. |They made it possible for someone like me. 
Barack_Obama_104_chunk_17.wav|To be elected president of the united states. |To be elected president of the united states. 
Barack_Obama_104_chunk_18.wav|So yes. |So yes. 
Barack_Obama_104_chunk_19.wav|My views are shaped by the specific experiences of america but i do not think. |My views are shaped by the specific experiences of america but i do not think. 
Barack_Obama_105_chunk_1.wav|Play the makes me prouder than all the good that we've done. |Play the makes me prouder than all the good that we've done. 
Barack_Obama_105_chunk_2.wav|Is the. |Is the. 
Barack_Obama_105_chunk_3.wav|Of all the amazing things that you are going to cheat from here. |Of all the amazing things that you are going to cheat from here. 
Barack_Obama_105_chunk_4.wav|And all of you out there. |And all of you out there. 
Barack_Obama_105_chunk_5.wav|Every organizer who moved to an unfamiliar town. |Every organizer who moved to an unfamiliar town. 
Barack_Obama_105_chunk_6.wav|Every kind family who welcomed them in. |Every kind family who welcomed them in. 
Barack_Obama_105_chunk_7.wav|Every volunteer who knocked on doors every young person who cast a ballot for the first time every american who lived and breathed the hard work of change you are the best supporters and organizers anybody could ever hope for and i will be forever grateful because you did change the world you did and that's why i leave this station even more optimistic about this. |Every volunteer who knocked on doors every young person who cast a ballot for the first time every american who lived and breathed the hard work of change you are the best supporters and organizers anybody could ever hope for and i will be forever grateful because you did change the world you did and that's why i leave this station even more optimistic about this. 
Barack_Obama_106_chunk_1.wav|Enter painting of our safety. |Enter painting of our safety. 
Barack_Obama_106_chunk_2.wav|Prosperity in liberty. |Prosperity in liberty. 
Barack_Obama_106_chunk_4.wav|From different causes and from different quarters. |From different causes and from different quarters. 
Barack_Obama_106_chunk_5.wav|Much pains will be taken to weaken in your minds the conviction of this truth. |Much pains will be taken to weaken in your minds the conviction of this truth. 
